review_id,product_id,order_id,rating,title,review_date,verified_purchase,helpful_votes,reported
784157,308799,506763,2,Perfect gift,2023-08-01,True,40,False
768576,391422,583620,5,Very good quality,2021-11-25,True,40,False
728767,301824,581570,4,Works as advertised,2023-02-09,True,30,False
741179,361894,589212,2,Very good quality,2024-04-05,True,86,False
752482,336342,589256,4,Very good quality,2023-08-05,True,104,False
776819,352184,577328,5,Very good quality,2023-05-05,True,39,False
714957,393926,560302,2,Solid build quality,2021-05-10,True,49,False
779244,386991,579118,4,Good value,2022-12-08,True,74,False
753589,357898,585419,4,Exceeded expectations,2024-08-07,True,9,False
724583,376983,591398,3,Average quality,2023-11-03,True,4,False
764131,396835,551069,2,Highly recommend,2024-06-08,True,43,False
733302,306629,526702,3,Perfect gift,2023-12-30,True,9,False
731544,359600,578361,5,Solid build quality,2022-02-05,True,101,False
737242,333408,562959,4,Highly recommend,2023-08-25,True,20,False
709535,349060,543517,5,Could be better,2024-01-07,True,9,False
735634,328477,518876,4,Not what I expected,2021-05-01,True,79,False
793815,386499,540470,5,Not what I expected,2022-10-08,True,120,False
724204,318758,563173,4,Would buy again,2023-06-12,True,89,False
767581,383283,522313,4,Exactly as described,2022-10-02,True,23,False
769356,391891,520180,3,"Fast shipping, good product",2022-03-09,True,1,False
734814,308285,567073,3,Disappointed,2022-05-03,True,111,False
785599,371364,521706,4,Disappointed,2022-10-14,True,94,False
794313,314871,552393,3,"Fast shipping, good product",2022-05-02,True,49,False
776765,341505,513513,5,Works as advertised,2022-05-02,True,3,False
771579,360482,583330,3,Average quality,2023-12-02,True,19,False
783583,385175,500674,3,Exactly as described,2023-06-14,True,13,False
739810,334737,549617,4,Good value,2023-11-20,True,99,False
725551,366039,560293,4,Highly recommend,2023-07-01,True,57,False
721194,321567,501762,4,"Fast shipping, good product",2023-10-21,True,83,False
768956,358115,523189,5,Average quality,2021-09-01,True,81,False
747085,344396,579746,4,Would buy again,2023-09-23,True,22,False
782283,353736,592302,5,Decent for the price,2022-01-03,True,113,False
788869,319340,562574,3,Could be better,2022-12-26,True,68,False
753619,304288,575442,5,Highly recommend,2024-06-09,True,113,False
728401,361993,589135,5,Perfect gift,2021-12-22,True,72,False
783574,326896,574667,5,Five stars,2024-01-17,True,36,False
736335,352184,550125,5,Decent for the price,2023-08-30,True,10,False
777972,380931,509587,5,Could be better,2022-05-30,True,78,False
764444,320006,566277,1,"Fast shipping, good product",2021-05-29,True,14,False
717981,394692,572462,2,Love it!,2024-06-12,True,53,False
751855,350940,551891,4,Great product!,2021-02-28,True,97,False
789923,356450,573331,4,"Fast shipping, good product",2023-04-06,True,32,False
770009,366039,579300,4,Not what I expected,2021-08-12,True,66,False
748465,359871,543253,5,Highly recommend,2022-11-30,True,77,False
718143,340730,539034,5,Five stars,2024-02-06,True,106,False
762321,370457,558794,2,"Fast shipping, good product",2022-05-01,True,69,False
780630,304082,576671,5,Works as advertised,2024-10-25,True,102,False
713471,346179,598514,1,Could be better,2023-02-05,True,77,False
751650,357711,529138,4,Not what I expected,2024-09-07,True,3,False
760798,361894,542357,4,Good value,2023-10-01,True,78,False
727596,330433,557350,5,Very good quality,2021-02-13,True,120,False
776601,301061,595680,4,Very good quality,2023-04-02,True,112,False
704629,306629,578142,3,Would buy again,2024-05-20,True,97,False
784334,360482,552103,4,Not what I expected,2024-02-24,True,109,False
753288,331365,571301,4,Not what I expected,2022-09-02,True,15,False
750978,342516,517173,2,Perfect gift,2021-05-11,True,51,False
741972,351879,546123,4,Very good quality,2024-02-18,True,28,False
704376,313069,598165,5,Five stars,2024-10-08,True,103,False
707457,369541,543673,4,Very good quality,2023-01-22,True,29,False
767459,360482,504327,2,Could be better,2024-01-31,True,107,False
734158,331925,580073,5,Would buy again,2024-03-28,True,52,False
